No_;Location;Inventory;Saleable qty
017974;120;.000000;.000000
000536;120;.000000;.000000
004602;120;.000000;.000000
017507;120;.000000;.000000
007316;120;6.000000;6.000000
005597;120;.000000;.000000
022096;120;.000000;.000000
020421;120;.000000;.000000
029706;120;.000000;.000000
018654;120;.000000;.000000
003447;120;.000000;.000000
000895;120;.000000;.000000
039733;120;.000000;.000000
016364;120;.000000;.000000
002719;120;.000000;.000000
047929;120;.000000;.000000
017698;120;.000000;.000000
004945;120;.000000;.000000
018081;120;-1.000000;-1.000000
001837;120;.000000;.000000
008391;120;.000000;.000000
002488;120;.000000;.000000
021305;120;-1.000000;-1.000000
008107;120;.000000;.000000
022948;120;.000000;.000000
028609;120;-1.000000;-1.000000
003953;120;-3.000000;-3.000000
023205;120;.000000;.000000
006168;120;.000000;.000000
002624;120;.000000;.000000
022369;120;.000000;.000000
024946;120;.000000;.000000
020886;120;.000000;.000000
027193;120;.000000;.000000
020266;120;-16.000000;-16.000000
016503;120;.000000;.000000
025557;120;.000000;.000000
002019;120;1.000000;1.000000
008232;120;.000000;.000000
017869;120;.000000;.000000
015336;120;.000000;.000000
015385;120;.000000;.000000
005199;120;.000000;.000000
020354;120;.000000;.000000
022553;120;.000000;.000000
025590;120;.000000;.000000
004867;120;.000000;.000000
020899;120;12.000000;12.000000
007355;120;.000000;.000000
003208;120;.000000;.000000
025962;120;.000000;.000000
001943;120;.000000;.000000
002630;120;.000000;.000000
021188;120;.000000;.000000
003308;120;.000000;.000000
016403;120;.000000;.000000
020360;120;.000000;.000000
005656;120;.000000;.000000
000424;120;.000000;.000000
005546;120;.000000;.000000
016168;120;.000000;.000000
026375;120;.000000;.000000
025543;120;.000000;.000000
001718;120;.000000;.000000
006665;120;.000000;.000000
016828;120;.000000;.000000
002043;120;.000000;.000000
004747;120;8.000000;8.000000
015582;120;.000000;.000000
006441;120;.000000;.000000
019933;120;.000000;.000000
017688;120;.000000;.000000
004135;120;.000000;.000000
025723;120;-1.000000;-1.000000
001830;120;-5.000000;-5.000000
005925;120;.000000;.000000
016118;120;.000000;.000000
029745;120;-1.000000;-1.000000
002465;120;.000000;.000000
003975;120;.000000;.000000
005094;120;.000000;.000000
019731;120;.000000;.000000
006845;120;.000000;.000000
015698;120;-1.000000;-1.000000
001827;120;-32.000000;-32.000000
002953;120;-33.000000;-33.000000
005236;120;.000000;.000000
023048;120;-1.000000;-1.000000
017875;120;.000000;.000000
003808;120;.000000;.000000
001779;120;.000000;.000000
016740;120;.000000;.000000
034472;120;.000000;.000000
011951;120;.000000;.000000
016420;120;.000000;.000000
020038;120;.000000;.000000
016379;120;.000000;.000000
006888;120;.000000;.000000
016712;120;.000000;.000000
005719;120;.000000;.000000
005408;120;.000000;.000000
015426;120;7.000000;7.000000
012149;120;.000000;.000000
006321;120;.000000;.000000
008248;120;4.000000;4.000000
023018;120;.000000;.000000
019804;120;.000000;.000000
031059;120;.000000;.000000
007754;120;.000000;.000000
015288;120;.000000;.000000
018531;120;.000000;.000000
001364;120;2.000000;2.000000
006661;120;.000000;.000000
031848;120;.000000;.000000
002552;120;.000000;.000000
029662;120;.000000;.000000
003512;120;.000000;.000000
003947;120;.000000;.000000
004620;120;.000000;.000000
023019;120;.000000;.000000
008063;120;.000000;.000000
003391;120;.000000;.000000
001713;120;.000000;.000000
003010;120;.000000;.000000
000535;120;.000000;.000000
021539;120;.000000;.000000
017689;120;.000000;.000000
008724;120;.000000;.000000
022988;120;.000000;.000000
029603;120;.000000;.000000
008382;120;.000000;.000000
004489;120;-1.000000;-1.000000
020284;120;.000000;.000000
007959;120;.000000;.000000
000714;120;14.000000;14.000000
016395;120;2.000000;2.000000
000098;120;.000000;.000000
003690;120;6.000000;6.000000
022006;120;.000000;.000000
008610;120;-1.000000;-1.000000
015277;120;.000000;.000000
008114;120;.000000;.000000
001152;120;.000000;.000000
025892;120;.000200;.000200
029704;120;.000000;.000000
009608;120;.000000;.000000
022913;120;2.000000;2.000000
007771;120;.000000;.000000
004658;120;.000000;.000000
003382;120;.000000;.000000
003674;120;.000000;.000000
026127;120;.000000;.000000
004236;120;.000000;.000000
018671;120;.000000;.000000
007822;120;.000000;.000000
017500;120;.000000;.000000
003199;120;.000000;.000000
020422;120;.000000;.000000
018420;120;.000000;.000000
003068;120;.000000;.000000
006740;120;.000000;.000000
021938;120;.000000;.000000
