ar;ItemNo;SalesQty;SalesAmountExclVat;SalesAmountInclVat;BF
2022;026672;10.000000;25639.600000;32049.500000;10349.040000
2021;013167;2.000000;654.400000;818.000000;298.480000
2021;007323;54.000000;864.000000;1080.000000;454.140000
2021;004154;179.000000;9783.320000;12229.150000;6269.480000
2020;019609;273.000000;16961.210000;21201.512500;11656.380000
2024;001548;1.000000;159.200000;199.000000;66.400000
2020;016597;17.280000;5113.130000;6391.412500;1900.460000
2022;000711;67.000000;12890.560000;16113.200000;5301.370000
2022;012047;20.000000;8368.000000;10460.000000;2804.600000
2023;023460;532.000000;98712.850000;123391.062500;27935.600000
2023;004131;179.000000;13357.200000;16696.500000;4056.640000
2024;029745;2.000000;958.400000;1198.000000;71.480000
2022;002083;116.000000;29651.000000;37063.750000;10947.880000
2022;008220;119.000000;15008.800000;18761.000000;11154.960000
2023;006187;31.000000;11036.000000;13795.000000;4869.170000
2021;022280;3.000000;69.600000;87.000000;46.080000
2024;026023;.000000;.000000;.000000;.000000
2023;020744;7.000000;890.400000;1113.000000;283.920000
2020;002790;145.000000;9109.600000;11387.000000;5657.760000
2022;028334;5.000000;720.800000;901.000000;242.300000
2022;007992;1667.000000;387461.610000;484327.012500;256431.480000
2023;026689;11.000000;16614.400000;20768.000000;5883.240000
2020;006492;16.000000;1024.000000;1280.000000;372.800000
2022;002995;-20.000000;-4632.000000;-5790.000000;-1249.600000
2021;027543;36.000000;1666.280000;2082.850000;535.080000
2021;008262;1459.000000;12816.900000;16021.125000;4573.550000
2022;020504;6.000000;161.600000;202.000000;62.000000
2020;026120;16.000000;755.200000;944.000000;268.300000
2021;010977;2.000000;1278.400000;1598.000000;-193.280000
2022;028249;46.000000;2259.610000;2824.512500;895.570000
2021;028204;27.000000;4076.000000;5095.000000;2195.520000
2024;004616;1.000000;247.200000;309.000000;50.300000
2024;031844;1.000000;2399.200000;2999.000000;-59.440000
2023;008933;11.000000;5048.800000;6311.000000;392.560000
2023;041199;51.000000;58851.380000;73564.225000;6578.300000
2020;022446;75.000000;1140.000000;1425.000000;485.920000
2020;008631;3.000000;906.400000;1133.000000;-561.920000
2022;023044;13.000000;23816.000000;29770.000000;2747.900000
2021;007960;4.000000;540.800000;676.000000;202.680000
2020;018426;6.000000;3835.200000;4794.000000;-163.200000
2023;027222;10.000000;5560.000000;6950.000000;1314.160000
2021;023074;40.000000;6232.800000;7791.000000;4508.000000
2022;021205;6299.498600;843339.610000;1054174.512500;76889.760000
2021;001984;1368.510000;354806.910000;443508.637500;20475.460000
2021;025770;115.000000;367814.400000;459768.000000;35140.800000
2021;034672;35.000000;3776.000000;4720.000000;655.400000
2024;045175;3.000000;69.600000;87.000000;47.880000
2021;024858;94.000000;29531.200000;36914.000000;7781.920000
2023;005047;18.000000;1562.200000;1952.750000;-446.420000
2021;021666;37.000000;51250.400000;64063.000000;10407.210000
2021;020734;72.000000;14529.600000;18162.000000;5636.160000
2021;026032;227.600000;54128.800000;67661.000000;13595.050000
2023;047928;320.400000;110827.950000;138534.937500;33613.330000
2022;018391;2.000000;126.400000;158.000000;39.040000
2021;015657;1176.805000;238437.700000;298047.125000;33261.740000
2021;004832;.000000;.000000;.000000;.000000
2020;023089;64.000000;101773.600000;127217.000000;21733.920000
2020;003080;14.000000;617.600000;772.000000;-23.040000
2024;002640;5.000000;1458.800000;1823.500000;-574.950000
2021;019634;16.000000;1636.000000;2045.000000;585.440000
2020;003411;3.000000;789.600000;987.000000;291.200000
2023;022936;28.000000;60275.260000;75344.075000;13600.340000
2024;039733;1.000000;239.200000;299.000000;115.080000
2023;038570;2.000000;206.400000;258.000000;118.240000
2023;027336;122.000000;8745.600000;10932.000000;3479.560000
2024;034535;4.000000;156.800000;196.000000;91.840000
2023;022348;26.000000;60654.880000;75818.600000;-17916.200000
2024;027785;5.000000;516.000000;645.000000;162.200000
2020;015224;10.000000;1187.200000;1484.000000;394.860000
2021;018398;70.000000;24535.200000;30669.000000;4939.680000
2022;028879;10.000000;5880.240000;7350.300000;2078.530000
2020;022860;1717.000000;246932.900000;308666.125000;103992.490000
2024;021995;4.000000;38.400000;48.000000;9.200000
2020;027804;3.000000;5037.600000;6297.000000;760.800000
2021;003635;257.000000;7150.280000;8937.850000;3251.440000
2023;022002;13.000000;189.600000;237.000000;94.700000
2020;025738;42.000000;3310.560000;4138.200000;1252.720000
2021;027592;7.000000;554.400000;693.000000;323.400000
2021;023463;28.000000;38040.000000;47550.000000;3750.800000
2022;027324;29.000000;3832.800000;4791.000000;1437.440000
2020;003074;53.000000;2271.200000;2839.000000;259.680000
2024;003644;16.000000;838.400000;1048.000000;101.470000
2020;023276;9.000000;208.800000;261.000000;68.220000
2021;029816;11.000000;463.820000;579.775000;148.010000
2020;005336;61.000000;4589.600000;5737.000000;217.120000
2022;017418;13.000000;3149.600000;3937.000000;821.440000
2023;026943;1.000000;1600.000000;2000.000000;-545.000000
